CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	ZERO	ONE	TWO	THREE	FOUR	FIVE	FZ	FACE
2.31E-01	9.96E-03	6.56E-04	2.67E-04	-7.45E-07	2.38E-05	5.71E-06	15.65687724	0	0	0	0	0	1	0	0
2.31E-01	9.43E-03	7.52E-04	2.67E-04	-3.83E-07	2.37E-05	7.34E-06	16.87740196	0	0	0	0	0	1	0	0
2.34E-01	9.65E-03	8.02E-04	3.00E-04	-2.20E-07	2.71E-05	8.34E-06	18.01100613	0	0	0	0	0	1	0	0
2.35E-01	9.72E-03	8.09E-04	3.05E-04	-1.54E-07	2.79E-05	8.30E-06	18.45828399	0	0	0	0	0	1	0	0
2.32E-01	8.95E-03	8.55E-04	3.81E-04	1.30E-06	3.33E-05	9.85E-06	17.59687445	0	0	0	0	0	1	0	0
2.29E-01	8.28E-03	7.16E-04	3.56E-04	1.88E-06	3.12E-05	9.97E-06	16.65864109	0	0	0	0	0	1	0	0
2.25E-01	7.39E-03	7.66E-04	2.27E-04	2.21E-07	1.79E-05	7.79E-06	15.95061283	0	0	0	0	0	1	0	0
2.24E-01	7.54E-03	4.77E-04	2.23E-04	-8.06E-08	1.88E-05	5.63E-06	15.55723337	0	0	0	0	0	1	0	0
2.23E-01	7.99E-03	5.10E-04	1.59E-04	-4.20E-07	1.36E-05	4.79E-06	15.45636457	0	0	0	0	0	1	0	0
2.23E-01	9.26E-03	3.85E-04	1.39E-04	-3.11E-07	1.27E-05	3.17E-06	15.17026515	0	0	0	0	0	1	0	0
2.22E-01	9.38E-03	2.92E-04	1.30E-04	-3.47E-07	1.22E-05	2.39E-06	15.18938232	0	0	0	0	0	1	0	0
2.27E-01	9.44E-03	3.12E-04	1.51E-04	-6.19E-07	1.45E-05	2.34E-06	14.03993703	0	0	0	0	0	1	0	0
2.34E-01	1.17E-02	2.64E-04	1.83E-04	-6.19E-07	1.95E-05	1.61E-06	13.65168053	0	0	0	0	0	1	0	0
2.28E-01	1.48E-02	3.30E-04	3.42E-04	1.79E-06	4.17E-05	2.27E-06	14.74171273	0	0	0	0	0	1	0	0
2.36E-01	1.69E-02	6.20E-04	5.32E-04	2.17E-06	6.67E-05	3.22E-06	13.97599467	0	0	0	0	0	1	0	0
2.33E-01	1.48E-02	1.05E-03	1.02E-03	3.34E-06	1.24E-04	-3.00E-08	13.21623893	0	0	0	0	0	1	0	0
2.44E-01	1.05E-02	3.65E-04	1.03E-03	-3.77E-07	1.00E-04	-3.40E-06	10.94280364	0	0	0	0	0	1	0	0
2.31E-01	1.45E-02	9.19E-04	9.08E-04	5.05E-06	1.09E-04	1.01E-06	12.88854164	0	0	0	0	0	1	0	0
2.19E-01	1.13E-02	1.84E-04	4.90E-04	1.60E-06	5.20E-05	3.37E-07	12.94189798	0	0	0	0	0	1	0	0
2.19E-01	1.15E-02	1.27E-04	3.87E-04	1.91E-06	4.15E-05	7.60E-07	13.65067363	0	0	0	0	0	1	0	0
2.24E-01	1.37E-02	8.50E-05	3.22E-04	1.37E-06	3.77E-05	9.72E-07	14.19580392	0	0	0	0	0	1	0	0
2.29E-01	1.14E-02	4.57E-04	4.82E-04	2.05E-06	5.02E-05	7.15E-06	12.65605208	0	0	0	0	0	1	0	0
2.33E-01	1.03E-02	6.89E-04	4.92E-04	1.59E-06	4.59E-05	8.91E-06	12.97104901	0	0	0	0	0	1	0	0
2.33E-01	1.17E-02	8.70E-04	5.24E-04	7.05E-06	5.32E-05	1.12E-05	13.37677409	0	0	0	0	0	1	0	0
2.30E-01	8.50E-03	1.06E-03	4.56E-04	2.77E-06	3.70E-05	1.33E-05	12.85769099	0	0	0	0	0	1	0	0
2.17E-01	6.88E-03	1.01E-03	2.78E-04	7.34E-06	2.15E-05	9.30E-06	14.16812763	0	0	0	0	0	1	0	0
2.23E-01	7.18E-03	8.19E-04	2.21E-04	3.03E-06	1.73E-05	8.40E-06	14.29768825	0	0	0	0	0	1	0	0
2.21E-01	8.35E-03	5.01E-04	1.63E-04	1.11E-06	1.40E-05	4.89E-06	14.55586464	0	0	0	0	0	1	0	0
2.21E-01	9.05E-03	4.19E-04	1.01E-04	3.13E-07	8.86E-06	3.09E-06	15.2950118	0	0	0	0	0	1	0	0
2.21E-01	9.30E-03	2.55E-04	9.82E-05	-2.74E-07	9.38E-06	2.16E-06	15.67419807	0	0	0	0	0	1	0	0
2.22E-01	8.99E-03	2.72E-04	1.01E-04	-3.28E-07	9.51E-06	2.26E-06	15.45736164	0	0	0	0	0	1	0	0
2.29E-01	1.07E-02	2.47E-04	1.62E-04	-6.15E-07	1.67E-05	2.25E-06	14.29022703	0	0	0	0	0	1	0	0
2.31E-01	1.13E-02	3.22E-04	1.64E-04	-7.09E-07	1.62E-05	1.88E-06	14.0246871	0	0	0	0	0	1	0	0
2.32E-01	1.24E-02	1.39E-04	2.50E-04	-1.87E-07	2.58E-05	2.87E-07	13.81947875	0	0	0	0	0	1	0	0
2.28E-01	1.05E-02	1.71E-04	2.37E-04	-1.06E-07	2.28E-05	1.45E-07	13.61536609	0	0	0	0	0	1	0	0
2.32E-01	1.18E-02	2.48E-04	3.24E-04	-9.19E-08	3.18E-05	2.64E-07	13.36853273	0	0	0	0	0	1	0	0
2.32E-01	1.26E-02	2.40E-04	3.01E-04	-1.19E-07	3.09E-05	2.66E-07	13.57652124	0	0	0	0	0	1	0	0
2.37E-01	1.42E-02	3.37E-04	3.38E-04	-5.39E-07	3.63E-05	1.52E-06	13.52256372	0	0	0	0	0	1	0	0
2.34E-01	1.32E-02	2.98E-04	3.45E-04	-4.98E-07	3.65E-05	1.54E-06	13.62798149	0	0	0	0	0	1	0	0
2.36E-01	1.35E-02	3.76E-04	3.60E-04	-5.09E-07	3.67E-05	1.63E-06	13.58694724	0	0	0	0	0	1	0	0
2.35E-01	1.38E-02	4.48E-04	5.27E-04	2.25E-06	5.99E-05	6.01E-06	13.56961507	0	0	0	0	0	1	0	0
2.32E-01	9.83E-03	8.13E-04	5.71E-04	2.92E-06	5.27E-05	1.13E-05	13.20392932	0	0	0	0	0	1	0	0
2.34E-01	9.38E-03	9.23E-04	5.96E-04	2.11E-06	5.26E-05	1.24E-05	13.2791953	0	0	0	0	0	1	0	0
2.30E-01	7.60E-03	1.19E-03	4.74E-04	4.02E-06	3.82E-05	1.53E-05	13.58798831	0	0	0	0	0	1	0	0
2.30E-01	6.70E-03	1.47E-03	4.10E-04	5.55E-06	3.07E-05	1.77E-05	13.76787807	0	0	0	0	0	1	0	0
2.23E-01	8.23E-03	4.98E-04	2.02E-04	6.73E-07	1.76E-05	5.82E-06	14.79209051	0	0	0	0	0	1	0	0
2.25E-01	9.19E-03	4.59E-04	1.84E-04	4.59E-07	1.68E-05	4.87E-06	14.8391651	0	0	0	0	0	1	0	0
2.23E-01	9.61E-03	2.38E-04	1.33E-04	-3.00E-07	1.29E-05	2.32E-06	15.19894822	0	0	0	0	0	1	0	0
2.28E-01	1.01E-02	3.15E-04	1.37E-04	-1.33E-07	1.37E-05	2.95E-06	14.13410075	0	0	0	0	0	1	0	0
